Date,Time,Comment,Member
Monday, February 3, 2014,3:24 PM,Revieved specifications from Prof. Gruner,Group
Monday, February 3, 2014,,Created github repo,Mathys
Tuesday, February 4, 2014,,,
Wednesday, February 5, 2014,,,
Thursday, February 6, 2014,,,
Friday, February 7, 2014,,,
Saturday, February 8, 2014,,,
Sunday, February 9, 2014,,,
Monday, February 10, 2014,,,
Tuesday, February 11, 2014,,,
Wednesday, February 12, 2014,9:30 AM,Meeting with client to introduce new team member and discuss project,Group
Wednesday, February 12, 2014,10:04 AM,Received email with templates,Group
Thursday, February 13, 2014,,,
Friday, February 14, 2014,9:09 AM,Sent technical questions to client,Alfred
Friday, February 14, 2014,10:29 AM,Client sent technical questions to UP IT department,
Saturday, February 15, 2014,,,
Sunday, February 16, 2014,,Added Alfred and Carlo to github repo,Mathys
Monday, February 17, 2014,,,
Tuesday, February 18, 2014,8:43 AM,Contacted Dr. Fritz Solms with regards to project templates,
Wednesday, February 19, 2014,13:40 PM,Google calander created,Mathys
Thursday, February 20, 2014,,,
Friday, February 21, 2014,,,
Saturday, February 22, 2014,,,
Sunday, February 23, 2014,,,
Monday, February 24, 2014,,Decied on work divisions for SRS document,Group
Monday, February 24, 2014,,Started team porfolio on repo.,Mathys
Tuesday, February 25, 2014,13:15 PM,Enquired client about IT department feed back not received,Mathys
Tuesday, February 25, 2014,13:33 PM,Client informs group that process flow and information description is required,Group
Wednesday, February 26, 2014,,,
Thursday, February 27, 2014,,,
Friday, February 28, 2014,10:13 AM,Sent more IT technical specs for system,Mathys
Saturday, March 1, 2014,,,
Sunday, March 2, 2014,,,
Monday, March 3, 2014,1:01 PM,Client sent more information to UP IT department,
Tuesday, March 4, 2014,,,
Wednesday, March 5, 2014,,,
Thursday, March 6, 2014,,,
Friday, March 7, 2014,,Group got access to SSFM lab from Prof. Gruner,Group
Saturday, March 8, 2014,,,
Sunday, March 9, 2014,,,
Monday, March 10, 2014,,,
Tuesday, March 11, 2014,,,
Wednesday, March 12, 2014,,,
Thursday, March 13, 2014,7:47 AM,Enquired client about IT department feed back not received,
Friday, March 14, 2014,9:39 AM,Client still waiting for response from IT department,
Saturday, March 15, 2014,,,
Sunday, March 16, 2014,,,
Monday, March 17, 2014,8:08 AM,Francois DeJager respondes to client asking for more time,
Tuesday, March 18, 2014,,,
Wednesday, March 19, 2014,,,
Thursday, March 20, 2014,,,
Friday, March 21, 2014,,,
Saturday, March 22, 2014,1:46 PM,Sent first draft of SRS document for client review,Mathys
Sunday, March 23, 2014,,,
Monday, March 24, 2014,,,
Tuesday, March 25, 2014,,,
Wednesday, March 26, 2014,,,
Thursday, March 27, 2014,,,
Friday, March 28, 2014,,,
Saturday, March 29, 2014,,,
Sunday, March 30, 2014,,,
Monday, March 31, 2014,,,
Tuesday, April 1, 2014,,,
Wednesday, April 2, 2014,,,
Thursday, April 3, 2014,,,
Friday, April 4, 2014,,,
Saturday, April 5, 2014,15:17 PM,Request for group meeting at SSFM lab on 7-April,Mathys
Sunday, April 6, 2014,,Request to change time or date of meeting. Meeting time changed 11:50,Alfred
Monday, April 7, 2014,,Group meeting. ,Group
Monday, April 7, 2014,,Meeting arrangement made to meet every Monday and Friday to discuss project,Group
Tuesday, April 8, 2014,,,
Wednesday, April 9, 2014,,,
Thursday, April 10, 2014,,,
Friday, April 11, 2014,8:30 AM,Group meeting,Group
Saturday, April 12, 2014,,,
Sunday, April 13, 2014,,,
Monday, April 14, 2014,11:30 AM,Group meeting,Group
Tuesday, April 15, 2014,,,
Wednesday, April 16, 2014,,,
Thursday, April 17, 2014,,,
Friday, April 18, 2014,8:30 AM,Group meeting,Group
Saturday, April 19, 2014,,,
Sunday, April 20, 2014,,,
Monday, April 21, 2014,11:30 AM,Group meeting,Group
Tuesday, April 22, 2014,,,
Wednesday, April 23, 2014,,,
Thursday, April 24, 2014,,,
Friday, April 25, 2014,8:30 AM,Group meeting. Carlo cannot make it due to family emergency,Group
Saturday, April 26, 2014,,,
Sunday, April 27, 2014,,,
Monday, April 28, 2014,11:30 AM,Group meeting,Group
Tuesday, April 29, 2014,,,
Wednesday, April 30, 2014,,,
Thursday, May 1, 2014,,,
Friday, May 2, 2014,8:30 AM,Group meeting,Group
Saturday, May 3, 2014,,,
Sunday, May 4, 2014,,,
Monday, May 5, 2014,11:30 AM,Group meeting,Group
Tuesday, May 6, 2014,,,
Wednesday, May 7, 2014,,,
Thursday, May 8, 2014,,,
Friday, May 9, 2014,8:30 AM,Group meeting,Group
Saturday, May 10, 2014,,,
Sunday, May 11, 2014,,,
Monday, May 12, 2014,11:30 AM,Group meeting,Group
Monday, May 12, 2014,,Added iteration 1 documents and started resturcing of project documentation on repo,Mathys
Tuesday, May 13, 2014,,,
Wednesday, May 14, 2014,12:24 PM,Lab access permission sent to Prof. Gruner for Miss Stacy,Mathys
Thursday, May 15, 2014,,,
Friday, May 16, 2014,8:30 AM,Group meeting. Miss Stacy attends.,Group
Friday, May 16, 2014,8:30 AM,Explains her role in the COS 301 projects. Presented project to her.,
Friday, May 16, 2014,10:37 AM,Inform client of progress. Requested meeting next week monday,Mathys
Saturday, May 17, 2014,,,
Sunday, May 18, 2014,,,
Monday, May 19, 2014,11:30 AM,Group meeting,Group
Monday, May 19, 2014,14:30 PM,Meeting with client about changes to documents and project structure,Group
Tuesday, May 20, 2014,,,
Wednesday, May 21, 2014,,,
Thursday, May 22, 2014,,,
Friday, May 23, 2014,8:30 AM,Group meeting. Discussed project presentation,Group
Friday, May 23, 2014,,Completed and demoed first iteration of the project,Group
Saturday, May 24, 2014, 3:01 PM,Geust lab access request sent to prof. Gruner for Miss Stacy,Mathys
Saturday, May 24, 2014,10:29 AM,Sent first iteration documents for client review,Mathys
Sunday, May 25, 2014,,,
Monday, May 26, 2014,11:30 AM,Group meeting. Miss Stacy attends. She requires a full timeline and work plan from us,Group
Tuesday, May 27, 2014,,,
Wednesday, May 28, 2014,,,
Thursday, May 29, 2014,,Last day of lectures,
Friday, May 30, 2014,12:29 PM,Sent new project work plan and timeline to Miss Stacy,Mathys
Saturday, May 31, 2014,,,
Sunday, June 1, 2014,,,
Monday, June 2, 2014,,,
Tuesday, June 3, 2014,,,
Wednesday, June 4, 2014,,,
Thursday, June 5, 2014,,,
Friday, June 6, 2014,,,
Saturday, June 7, 2014,,,
Sunday, June 8, 2014,,,
Monday, June 9, 2014,,,
Tuesday, June 10, 2014,,,
Wednesday, June 11, 2014,11:30 AM,Request client for meeting on 20 june at 11:15. Client confirmed,Mathys
Thursday, June 12, 2014,,,
Friday, June 13, 2014,,,
Saturday, June 14, 2014,,,
Sunday, June 15, 2014,,,
Monday, June 16, 2014,,Create Java EE project file structure and SQL script,
Tuesday, June 17, 2014,,Discovered some inconsitanties and lacking of objects in domain objects,Mathys
Tuesday, June 17, 2014,,Worked on SQL script for database creation,Mathys
Tuesday, June 17, 2014,,Decided on using XML as content structure in certain databse fields,Group
Wednesday, June 18, 2014,,,
Thursday, June 19, 2014,,,
"Friday, June 20, 2014,,""Client meeting: Confirmed project timeline, Finance details. Prof Gruner attened and provided clarification on finance details"",Group"
